TSP Name,Nr Cities,OPT,GG(195075),GG(50),GG(1),Linear,Staircase,Sigmoid,Geometric,Linear Reheat,Cosine
rat195,195,2323,18688.646640804178,3201.4172853092878,3195.99646722958,6422.101588186498,4630.316614458739,4717.218149455185,3342.30558581491,3423.8214007797333,8516.233048377535
rat575,575,6773,102545.3456005047,14310.462503310027,14173.89456306541,36646.864831992774,29924.47516394981,24576.430672798502,15713.461215183299,16608.93146474492,57127.7508362755
rat783,783,8806,164706.51080504138,23597.933691302303,23600.8229508634,61056.8447576413,51922.55530472383,40891.01864278489,26144.606217709625,27621.097776285704,97181.00729643017
rd100,100,7910,42989.57311813214,9455.10430483332,9549.86627574181,11020.462191095206,10714.62903897472,9799.02165756397,9392.121802381513,9371.054441616714,14580.311250277786
rd400,400,15281,189428.04834785024,27093.812353258993,27259.408276261318,51112.41179638542,46646.89252775155,37732.18071766909,28510.940873890435,29123.619704658682,86512.48524622519
st70,70,675,2721.0187763309887,759.6941691245672,729.1866414683157,1120.2476121874054,816.6218364666901,980.0255088210399,742.45711682124,741.7281616034827,1233.2286955314135
rl1304,1304,252948,8113065.683700782,1489319.0788018235,1492931.2821969884,1538007.5319421417,1546243.540690322,1552428.9543383927,1483525.9652962156,1492184.482232072,1752256.7052113588
rl1323,1323,270199,8435691.674415443,1531011.3531242409,1533450.1508642598,1579127.5089170823,1586183.3892852378,1600077.1423752485,1528780.0962542403,1521441.6427184448,1789056.7740203277
ts225,225,126643,1255899.1443095715,203725.1269154075,198836.48196354284,204469.7752708706,203471.57362832283,206311.44541760843,199565.65785508696,200424.95421151727,243336.1162224668
tsp225,225,3919,35336.532044890526,5506.492419634541,5487.7137418456705,10972.17866961881,8621.39301857892,7739.515053836801,5751.428424125001,5861.13749736755,16040.92356385686
pr76,76,108159,398149.04133659357,124974.0373072994,125274.271222021,113909.20795362334,114027.18183461134,115157.63718137932,120603.15751574251,119523.53008580967,118739.04640489045
u159,159,42080,347794.92050507263,58596.352489477,59376.45233315703,63498.27083263292,63010.12300530252,61326.981878908235,58470.00297683712,58313.30737551092,91874.26714225436
u574,574,36905,608813.2027071068,83837.84775578362,83835.70284894199,138055.3852054227,131029.78607500128,111707.26870382763,87332.30863762465,87600.09672054031,256542.81313721137
u724,724,41910,787202.6586130916,109633.25121345659,110454.2589475279,182324.60243095108,174331.2409967581,149468.03332467284,113380.10673797494,114762.66392745523,347323.9172857915
u1060,1060,224094,5653618.4165509045,838774.28349599,842020.1428009631,915997.0407009448,918336.1142578537,916585.7240824534,838650.4885408364,827422.9010531922,1140037.0877135056
vm1084,1084,239297,7155003.768466741,1053165.077868792,1048694.1302250656,1096200.9365952048,1098291.2860769816,1105512.6714882702,1039193.7277080193,1041500.8383073267,1251023.0523910313
