TSP Name,OPT,GG(195075),GG(50),GG(1),Linear,Staircase,Sigmoid,Geometric,Linear Reheat,Cosine
kroB200,29437,264018.3576805944,39728.9998289552,39735.6384861239,49332.8191799554,48227.5721423752,44331.9340858624,39160.0177188008,38878.0742784752,77637.31746027374
lin105,14379,88322.3670398105,17093.4300069732,17112.7799084345,18043.807486018,18119.1329091267,16904.8742467998,17007.1996604711,16504.3513782324,25393.1084957528
lin318,42029,494696.5632781663,66892.1304775099,66580.5858444941,92002.7199101058,88933.9728265233,80913.2258989442,68290.6017947282,68515.8208442575,163727.0678261071
p654,34643,1650479.8261759894,83916.6964250405,85130.517471484,132755.7703781539,125461.1705326684,114342.6412420452,86857.9632890594,83703.4619077701,241320.545101293
pcb442,50778,670463.2975631445,93623.6286125576,91670.9832289715,133590.5762733775,129256.8561940949,114973.3433796948,96357.4925757127,95568.4439148214,243959.5003364017
pcb1173,56892,1293851.2152032228,214403.0660539858,214290.3564237526,353489.7027623816,340871.633004824,297195.7265849627,223374.9927130938,222493.76859627484,649716.811119261
pr107,44303,344117.9289629498,51833.3564914694,52242.2820224545,52987.8074179576,52701.1456675904,52647.0771578305,52146.5568733325,51363.0546846966,62083.7824698062
pr124,59030,466646.5408683163,75546.8803890325,76092.1277105748,77722.7225540087,76808.1082295153,77785.3895969454,73174.8088442667,75824.7004330366,89857.0774631173
pr136,96772,579183.1765524105,115096.3235918398,116977.3186180513,118135.7289246524,116749.0495217229,118713.8825015317,116609.4952149862,115901.6309152692,133219.7513887152
pr144,58537,570909.1981061824,72165.1535930957,74086.1738480715,74963.6533101712,74464.5343570376,76720.0814108493,74804.6101046196,74556.2232721808,88787.9166386726
pr152,73682,710694.5347067448,90000.3141562497,90007.052062271,93358.95755555226,96778.10714907206,95621.8739186687,94982.0251582181,91214.4280324962,108027.0183355187
pr226,80369,1221439.1431911949,120258.6373230836,117570.711080666,130632.5412598571,126073.4472590618,127746.5908953488,122814.8715368391,118810.0339627851,149530.6413697896
pr299,48191,605569.3693518717,77605.4727017805,78405.2339951448,99084.1091181146,98190.2921448861,91539.2551118044,79085.8472783681,79289.8525026555,168129.055948257
rat99,1211,6097.7546281755,1360.918938156,1372.1452791284,2186.3283095514,1620.5249706687,1788.3562961015384,1372.6151900946,1417.8415033749,2583.9738112882
rat195,2323,17802.8337663357,3092.032342456,3031.8810817156,6056.2478379834,4427.9395711131,4429.0145456328,3238.049941756,3273.2888084801,8295.237311768804
rat575,6773,100330.3397987513,14064.11012768258,13901.3134541955,35955.6307821077,28882.0341561318,24092.573864827,15400.7385328363,16257.7759669874,55667.45784492302
rat783,8806,161800.2726149599,22903.6723596667,23002.2168223415,59369.2574297967,50997.50705916937,39563.96819581047,25884.0728599634,26876.494588545,95266.4717287836
rd100,7910,41022.9060291476,9080.0601569251,9003.4621358907,10668.6838638981,10126.8054612555,9364.1559967767,9102.3865790493,8805.956063659085,13697.3936392583
rd400,15281,185857.8721805243,26568.5236620622,26386.4382350616,49924.39009940733,44881.5347831454,35817.8250510247,27490.2882017234,27745.9973286933,84136.26991637671
st70,675,2567.8193830532,717.4654534785,718.2325927979,1016.7802877736,766.8581021929,918.7321713266,711.507168527,727.3131034356,1133.6472716518
rl1304,252948,8039109.529880841,1464952.0232173922,1429554.595145226,1521191.7312665416,1533374.571960184,1531196.8918519472,1440022.7482998546,1451179.0191071418,1703301.8278077822
rl1323,270199,8327330.106809013,1499279.8879914489,1486623.585924164,1554706.93839824,1563218.849476871,1566459.1875584945,1475152.9043396984,1493060.4205703,1703727.8872494807
ts225,126643,1222708.703701035,192654.9355096417,191049.5211129539,195624.7966483526,195725.7135441398,196890.7604187558,192521.9116677281,184361.3332509649,233954.3781998209
tsp225,3919,34525.007446558266,5268.2455571472,5310.0135592377,10482.795961172,8121.2290512551,7218.961552882105,5491.5988485093,5801.881299828,15439.117444691485
pr76,108159,385695.6183989348,113787.1372860403,118448.5818537189,111207.4231282782,110437.7152020212,112989.1832499141,113925.8441614051,114022.5868052767,114324.0191387926
u159,42080,340925.50283314975,56147.18452637208,54686.9349939829,60367.4315135196,60338.0930119654,58021.6912931495,55030.8234266562,55409.6536109361,88638.2853405368
u574,36905,598853.3101817317,81431.7343042479,80171.3512704711,134279.06129167712,128635.5676140741,109493.2224931475,84418.7880887512,84749.7623427685,249870.92971453167
u724,41910,780828.838893238,105492.7535869142,105934.1529915985,176561.1012101289,170272.7031118658,145463.1072624648,111376.1800210336,111302.4553431753,339345.9360342643
u1060,224094,5552857.3759821,822784.7755421364,815961.9908642527,898140.9479411085,899407.0808597954,900129.5673894711,815048.5480309855,821248.4057568436,1089512.4186249897
vm1084,239297,7049468.833953045,1023378.7617005634,1003368.3889236166,1057789.8226479343,1071428.501081572,1056629.8533620934,1017306.0098875538,1004575.510694583,1222905.1155798791
